"word","id","accuracy","rt","trial_type","trial_number"
"drown",82,"correct",469.759198406652,"practice",1
"fruit",82,"correct",554.793768165722,"practice",2
"elbow",82,"correct",520.902724256399,"practice",3
"climb",82,"correct",535.794917929968,"practice",4
"brick",82,"correct",519.551792958575,"practice",5
"snorp",82,"correct",534.998756009175,"practice",6
"drorp",82,"correct",434.792458928507,"practice",7
"blarp",82,"correct",464.36454318772,"practice",8
"florp",82,"correct",451.806032337095,"practice",9
"plimp",82,"correct",525.07027176065,"practice",10
"flock",82,"correct",546.356682410337,"experimental",11
"zworp",82,"correct",471.987586132665,"experimental",12
"judge",82,"correct",642.016942780396,"experimental",13
"shred",82,"correct",500.294694741401,"experimental",14
"grind",82,"correct",430.609134603168,"experimental",15
"flame",82,"correct",569.989740631415,"experimental",16
"brump",82,"correct",499.105918737484,"experimental",17
"heart",82,"correct",434.792458928507,"experimental",18
"squat",82,"correct",477.9947197426,"experimental",19
"dresp",82,"correct",556.754566220611,"experimental",20
"bread",82,"correct",535.718097824424,"experimental",21
"quill",82,"correct",446.883271782095,"experimental",22
"frasp",82,"correct",607.603682515963,"experimental",23
"dworp",82,"correct",507.057509402579,"experimental",24
"vlasp",82,"correct",520.902724256399,"experimental",25
"quibb",82,"correct",539.791264566993,"experimental",26
"nlorp",82,"correct",494.291924278285,"experimental",27
"ruler",82,"correct",580.966951633494,"experimental",28
"plurt",82,"correct",504.534495160888,"experimental",29
"liver",82,"correct",553.514720709695,"experimental",30
"quote",82,"correct",530.521111973149,"experimental",31
"stare",82,"correct",578.32067821125,"experimental",32
"grisp",82,"correct",520.953936420291,"experimental",33
"shine",82,"correct",561.25332559873,"experimental",34
"jwump",82,"correct",554.793768165722,"experimental",35
"light",82,"correct",423.719949094384,"experimental",36
"vlump",82,"correct",515.49597165331,"experimental",37
"water",82,"correct",513.195158354672,"experimental",38
"klirp",82,"correct",501.291657113977,"experimental",39
"wrasp",82,"correct",585.486656132435,"experimental",40
"xrimp",82,"correct",544.380634832681,"experimental",41
"clock",82,"correct",541.163039170143,"experimental",42
"trimp",82,"correct",498.268399494606,"experimental",43
"flasp",82,"correct",533.168091558364,"experimental",44
"qrump",82,"correct",466.192338490688,"experimental",45
"mango",82,"correct",582.680331690605,"experimental",46
"florp",82,"correct",473.545835370913,"experimental",47
"snack",82,"correct",563.021819245921,"experimental",48
"nrimp",82,NA,NA,"experimental",49
"ocean",82,"correct",510.44811713845,"experimental",50
"group",82,"correct",538.939199334532,"experimental",51
"crane",82,"correct",508.516376522228,"experimental",52
"grape",82,"correct",424.646454188903,"experimental",53
"speak",82,"correct",515.198366488582,"experimental",54
"spork",82,"correct",535.794917929968,"experimental",55
"plane",82,"correct",494.607523410971,"experimental",56
"glasp",82,"correct",603.760941691593,"experimental",57
"qrasp",82,"correct",418.851897224348,"experimental",58
"trasp",82,"correct",474.028682048692,"experimental",59
"prasp",82,"correct",556.674280460625,"experimental",60
"haste",82,"correct",551.970170965342,"experimental",61
"lwump",82,"correct",455.125105375451,"experimental",62
"laugh",82,"correct",528.485002265083,"experimental",63
"blasp",82,"correct",574.146087549673,"experimental",64
"jlorp",82,"correct",435.764447478142,"experimental",65
"swipe",82,"correct",518.240681029596,"experimental",66
"crasp",82,"correct",524.909362476208,"experimental",67
"apple",82,"correct",534.998756009175,"experimental",68
"zlorp",82,"incorrect",533.199319699008,"experimental",69
"flibb",82,"correct",508.446957513217,"experimental",70
"brush",82,"correct",535.485081245801,"experimental",71
"blorf",82,"correct",469.759198406652,"experimental",72
"globe",82,NA,NA,"experimental",73
"sleek",82,"correct",519.551792958575,"experimental",74
"swoop",82,NA,NA,"experimental",75
"twasp",82,"correct",540.071273282305,"experimental",76
"train",82,"correct",515.752073024377,"experimental",77
"pluck",82,"correct",499.824633031147,"experimental",78
"glorf",82,"correct",553.969767762997,"experimental",79
"mlorp",82,"correct",557.517472234855,"experimental",80
"slurb",82,"correct",553.649657546576,"experimental",81
"scary",82,"correct",554.323186511299,"experimental",82
"sloth",82,"correct",491.326248314905,"experimental",83
"mrump",82,"correct",395.274167465321,"experimental",84
"dramp",82,"correct",641.553476525679,"experimental",85
"mirth",82,"correct",461.327112237372,"experimental",86
"skump",82,"correct",484.867735348143,"experimental",87
"piano",82,"correct",491.020675653678,"experimental",88
"dwasp",82,"correct",501.902791605024,"experimental",89
"snibb",82,"correct",523.197392526236,"experimental",90
"drisp",82,"correct",545.500073005978,"experimental",91
"plant",82,"incorrect",401.417583485126,"experimental",92
"quart",82,"incorrect",476.196559203876,"experimental",93
"wrump",82,"correct",523.324378479445,"experimental",94
"onion",82,NA,NA,"experimental",95
"prump",82,"correct",620.084343739554,"experimental",96
"blump",82,"correct",518.839041530427,"experimental",97
"zrimp",82,"correct",503.713048522904,"experimental",98
"saint",82,"correct",524.591843445485,"experimental",99
"clorb",82,"correct",502.963765625818,"experimental",100
"xlorp",82,"correct",564.868117412166,"experimental",101
"sugar",82,"correct",580.286259361342,"experimental",102
"sweep",82,"correct",546.537076803538,"experimental",103
"chair",82,"correct",504.438529017059,"experimental",104
"table",82,"correct",416.203885233907,"experimental",105
"honor",82,NA,NA,"experimental",106
"quiet",82,"correct",513.868871164182,"experimental",107
"knasp",82,"correct",516.536579811534,"experimental",108
"plasp",82,"correct",463.924863672876,"experimental",109
"hrump",82,"correct",550.153168476815,"experimental",110
