"word","ID","accuracy","rt","trial_type","trial_number"
"fruit",75,"correct",516.450434752357,"practice",1
"climb",75,"correct",567.930080084866,"practice",2
"brick",75,"correct",485.495400268325,"practice",3
"drown",75,"correct",490.026306831641,"practice",4
"elbow",75,"correct",420.73424971498,"practice",5
"drorp",75,"correct",500.38012645125,"practice",6
"florp",75,"correct",564.906227623276,"practice",7
"plimp",75,"correct",590.411158966934,"practice",8
"blarp",75,"correct",548.986801758881,"practice",9
"snorp",75,"correct",458.806442614132,"practice",10
"mrump",75,"correct",464.410891673759,"experimental",11
"dresp",75,"correct",575.15182554333,"experimental",12
"shine",75,"correct",490.026306831641,"experimental",13
"quote",75,"correct",509.944246959942,"experimental",14
"snibb",75,"correct",491.24770290996,"experimental",15
"nrimp",75,"correct",513.916570227835,"experimental",16
"onion",75,"correct",462.76895125281,"experimental",17
"dwasp",75,"correct",466.500503527232,"experimental",18
"prasp",75,"correct",520.583330408051,"experimental",19
"xlorp",75,"correct",548.986801758881,"experimental",20
"sleek",75,"correct",499.061722658659,"experimental",21
"mlorp",75,"correct",565.566339714428,"experimental",22
"brump",75,"correct",555.286439681102,"experimental",23
"jwump",75,"correct",485.165786587091,"experimental",24
"dramp",75,"correct",458.404011760969,"experimental",25
"mirth",75,"correct",518.925647530495,"experimental",26
"quart",75,"correct",528.796415903933,"experimental",27
"hrump",75,"correct",488.546140201487,"experimental",28
"wrasp",75,"correct",524.786317600284,"experimental",29
"quibb",75,"correct",443.640444629962,"experimental",30
"judge",75,"correct",438.465040353705,"experimental",31
"grisp",75,"correct",504.438579452394,"experimental",32
"liver",75,"correct",565.627120680557,"experimental",33
"water",75,NA,NA,"experimental",34
"mango",75,"correct",579.882615110963,"experimental",35
"bread",75,"correct",558.234599981283,"experimental",36
"plane",75,NA,NA,"experimental",37
"frasp",75,"correct",525.852755552594,"experimental",38
"group",75,"correct",465.88070674075,"experimental",39
"zlorp",75,"correct",539.602518684418,"experimental",40
"spork",75,"correct",512.691788121194,"experimental",41
"flasp",75,"correct",561.871705141409,"experimental",42
"clorb",75,"correct",495.905156975365,"experimental",43
"zrimp",75,"correct",461.426320083396,"experimental",44
"laugh",75,"correct",532.144536879197,"experimental",45
"swoop",75,"correct",513.587326907978,"experimental",46
"glasp",75,"correct",432.871966347094,"experimental",47
"light",75,NA,NA,"experimental",48
"flame",75,"correct",471.704457109471,"experimental",49
"honor",75,"incorrect",617.945107630946,"experimental",50
"plasp",75,"correct",411.108756587258,"experimental",51
"blasp",75,"correct",462.386622685828,"experimental",52
"plant",75,"correct",590.411158966934,"experimental",53
"jlorp",75,"correct",479.677122294237,"experimental",54
"brush",75,"correct",444.635772797221,"experimental",55
"crane",75,NA,NA,"experimental",56
"slurb",75,"correct",414.60380039195,"experimental",57
"sloth",75,"correct",514.573354895571,"experimental",58
"squat",75,"correct",564.906227623276,"experimental",59
"heart",75,"correct",525.249528034574,"experimental",60
"snack",75,"correct",516.450434752357,"experimental",61
"sugar",75,"correct",504.565652465643,"experimental",62
"skump",75,"correct",473.187374677878,"experimental",63
"vlump",75,"correct",500.995611395779,"experimental",64
"florp",75,"correct",489.723274986104,"experimental",65
"grape",75,"correct",554.870034975773,"experimental",66
"qrasp",75,"correct",522.257958003898,"experimental",67
"grind",75,"correct",480.018495479276,"experimental",68
"haste",75,"correct",493.212080868717,"experimental",69
"vlasp",75,"correct",623.989786528908,"experimental",70
"trimp",75,"correct",495.883420083223,"experimental",71
"pluck",75,"correct",500.189821413237,"experimental",72
"saint",75,"correct",556.543448376976,"experimental",73
"twasp",75,"correct",544.558133013403,"experimental",74
"piano",75,"correct",526.631710047293,"experimental",75
"stare",75,"correct",499.125361457842,"experimental",76
"drisp",75,"correct",565.720291822184,"experimental",77
"klirp",75,"correct",560.739282409664,"experimental",78
"sweep",75,"correct",438.780374920503,"experimental",79
"wrump",75,"correct",505.662157940073,"experimental",80
"zworp",75,"correct",567.930080084866,"experimental",81
"knasp",75,"correct",426.436484972708,"experimental",82
"quill",75,"correct",537.15217921766,"experimental",83
"chair",75,"correct",544.545499250463,"experimental",84
"speak",75,"correct",491.722437467628,"experimental",85
"crasp",75,"correct",584.426538060716,"experimental",86
"qrump",75,"correct",500.888091306923,"experimental",87
"scary",75,"correct",517.653608388897,"experimental",88
"blump",75,NA,NA,"experimental",89
"nlorp",75,"incorrect",434.972972556692,"experimental",90
"ruler",75,"correct",473.895867591764,"experimental",91
"quiet",75,"correct",406.379024319154,"experimental",92
"lwump",75,"correct",458.806442614132,"experimental",93
"ocean",75,"correct",537.423543696272,"experimental",94
"dworp",75,"correct",516.115603387359,"experimental",95
"table",75,"correct",417.648753134544,"experimental",96
"xrimp",75,"correct",463.927155828912,"experimental",97
"train",75,"correct",524.646297473956,"experimental",98
"prump",75,"correct",568.218145185616,"experimental",99
"blorf",75,"correct",556.850827100992,"experimental",100
"globe",75,"correct",473.614276147428,"experimental",101
"swipe",75,"correct",493.223439101021,"experimental",102
"plurt",75,"correct",443.041706667525,"experimental",103
"clock",75,"correct",484.28970544268,"experimental",104
"flock",75,"correct",531.008186734378,"experimental",105
"trasp",75,"correct",474.779321630396,"experimental",106
"shred",75,"correct",533.595097890698,"experimental",107
"glorf",75,"correct",500.38012645125,"experimental",108
"flibb",75,"correct",446.984185256561,"experimental",109
"apple",75,"correct",445.370583363112,"experimental",110
